Company,Category,Product,Per Serve Size,Energy (kCal),Carbohydrates (g),Protein (g),Fiber (g),Sugar (g),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg)
Pizza Hut,All Meals,Corn n Cheese (Personal),143.5 g,432.6,65.64,17.91,3.85,0.0,10.93,5.14,0.16,16.19,499.72
Pizza Hut,All Meals,Country Feast (Personal),178 g,407.6,67.11,16.73,7.19,0.0,8.03,3.24,0.11,66.8,818.0
Pizza Hut,All Meals,Double Cheese (Personal),143 g,423.33,59.97,18.26,3.49,0.0,12.27,5.23,0.18,19.75,638.22
Pizza Hut,All Meals,Double Paneer Supreme (Personal),174.5 g,474.03,52.86,20.07,3.79,0.0,20.26,9.25,0.33,71.72,1128.11
Pizza Hut,All Meals,Farmer`s Pick (Personal),177 g,408.16,53.93,19.91,2.46,0.0,12.53,4.9,0.14,48.09,942.67
Pizza Hut,All Meals,Margherita (Personal),130.5 g,361.73,50.69,15.93,4.08,0.0,10.58,3.86,0.12,26.47,713.82
Pizza Hut,All Meals,Spiced Paneer (Personal),157 g,408.01,47.54,21.68,6.92,0.0,14.57,8.02,0.35,37.37,622.38
Pizza Hut,All Meals,Tandoori Onion (Personal),139.5 g,410.16,57.14,15.08,1.33,0.0,13.48,4.52,0.13,23.87,826.22
Pizza Hut,All Meals,Tandoori Paneer (Personal),167.5 g,532.08,76.38,17.82,7.07,0.0,17.25,6.67,0.22,21.67,960.93
Pizza Hut,All Meals,Veg Exotica (Personal),170.5 g,363.05,55.12,13.66,4.28,0.0,9.77,3.92,0.12,23.96,640.46
Pizza Hut,All Meals,Veg Kebab Surprise (Personal),194.5 g,520.4,63.12,24.62,5.56,0.0,18.83,6.81,0.18,23.03,1158.85
Pizza Hut,All Meals,Veggie Feast (Personal),160.5 g,408.06,60.57,17.75,4.24,0.0,10.53,4.12,0.13,21.96,869.41
Pizza Hut,All Meals,Veggie Lover (Personal),171 g,411.72,56.6,17.2,3.66,0.0,12.94,5.32,0.17,19.29,564.98
Pizza Hut,All Meals,Veggie Supreme (Personal),178 g,426.59,55.39,17.75,4.43,0.0,14.42,5.52,0.16,32.43,591.1
Pizza Hut,All Meals,Veggie Tandoori (Personal),153.5 g,432.21,58.12,13.98,2.0,0.0,15.98,5.36,0.15,31.91,835.35
Pizza Hut,All Meals,Momo Mia Veg (Personal),209 g,510.19,65.21,19.88,9.34,5.18,18.87,8.23,0.33,19.86,747.15
Pizza Hut,All Meals,Momo Mia Chicken (Personal),211 g,516.63,64.02,22.56,9.03,4.62,18.93,7.93,0.3,24.1,845.84
Pizza Hut,All Meals,Chicken n Corn Delight (Personal),165.5 g,421.56,57.38,20.75,5.84,0.0,12.11,5.11,0.15,50.96,916.52
Pizza Hut,All Meals,Chicken Pepper Crunch (Personal),167.5 g,447.43,50.59,21.32,5.86,0.0,17.76,7.45,0.23,54.62,780.15
Pizza Hut,All Meals,Chicken Pepperoni (Personal),154.5 g,439.17,50.41,14.85,4.74,3.62,19.79,7.79,0.22,112.45,948.58
Pizza Hut,All Meals,Chicken Sausage (Personal),151.5 g,443.02,48.93,17.98,4.68,0.0,19.48,8.03,0.26,38.62,678.93
Pizza Hut,All Meals,Chicken Supreme (Personal),172.5 g,445.19,47.37,23.87,5.18,0.0,17.78,6.66,0.19,39.61,1264.58
Pizza Hut,All Meals,Chicken Tikka Supreme (Personal),172.5 g,434.67,49.46,22.49,4.31,0.0,16.32,6.16,0.17,25.41,1328.54
Pizza Hut,All Meals,Double Chicken Sausage (Personal),148.5 g,445.29,49.32,18.37,5.05,4.34,19.39,7.2,0.21,89.77,637.69
Pizza Hut,All Meals,Italian Chicken Feast (Personal),170.5 g,449.4,53.52,20.08,5.34,3.68,17.22,6.38,0.17,58.63,1075.04
Pizza Hut,All Meals,Malai Chicken Tikka (Personal),167.5 g,425.45,53.99,21.62,3.9,0.0,13.67,6.06,0.2,24.64,1284.31
Pizza Hut,All Meals,Spiced Chicken Meatball (Personal),154.5 g,394.79,46.12,20.84,6.64,0.0,14.11,6.88,0.23,49.83,752.04
Pizza Hut,All Meals,Triple Chicken Feast (Personal),193.5 g,424.46,50.12,24.15,4.88,0.0,22.76,9.25,0.27,42.86,1421.66
Pizza Hut,All Meals,Chicken Tikka (Personal),151.5 g,394.73,48.43,17.56,6.83,0.0,14.53,6.18,0.18,37.48,656.21
Pizza Hut,All Meals,Veggie Tandoori (Medium),200 g,563.14,75.72,18.22,2.6,0.0,20.82,6.98,0.2,41.58,1088.4
Pizza Hut,All Meals,Momo Mia Veg (Medium),257 g,627.36,80.18,24.44,11.49,6.37,23.21,10.13,0.41,24.42,918.75
Pizza Hut,All Meals,Corn n Cheese (Medium),185 g,557.7,84.62,23.09,4.96,0.0,14.1,6.62,0.2,20.87,644.24
Pizza Hut,All Meals,Country Feast (Medium),237 g,542.71,89.35,22.28,9.57,0.0,10.69,4.31,0.14,88.95,1199.05
Pizza Hut,All Meals,Double Cheese (Medium),182 g,542.58,76.86,23.41,4.48,0.0,15.72,6.7,0.24,25.32,900.56
Pizza Hut,All Meals,Double Paneer Supreme (Medium),223.6 g,607.41,67.73,25.71,4.85,0.0,25.96,11.85,0.42,91.9,1445.53
Pizza Hut,All Meals,Farmer`s Pick (Medium),229 g,528.07,69.78,25.76,3.18,0.0,16.21,6.34,0.18,62.22,1219.61
Pizza Hut,All Meals,Margherita (Medium),165.6 g,459.03,64.32,20.22,5.18,0.0,13.43,4.9,0.15,33.58,905.82
Pizza Hut,All Meals,Spiced Paneer (Medium),205 g,532.754,62.08,28.31,9.04,0.0,19.02,10.48,0.45,48.79,812.66
Pizza Hut,All Meals,Tandoori Onion (Medium),178 g,523.36,72.91,19.24,1.69,0.0,17.19,5.77,0.16,30.46,1054.24
Pizza Hut,All Meals,Tandoori Paneer (Medium),215 g,682.97,98.04,22.88,9.07,0.0,22.15,8.56,0.28,27.82,1233.43
Pizza Hut,All Meals,Veg Exotica (Medium),214 g,455.67,69.19,17.14,5.37,0.0,12.26,4.92,0.15,30.07,510.27
Pizza Hut,All Meals,Veg Kebab Surprise (Medium),257.6 g,689.23,83.59,32.61,7.37,0.0,24.94,9.02,0.23,30.5,1534.81
Pizza Hut,All Meals,Veggie Feast (Medium),209.6 g,532.89,79.1,23.18,5.53,0.0,13.75,5.39,0.17,28.67,1135.38
Pizza Hut,All Meals,Veggie Lover (Medium),223 g,536.92,73.81,22.43,4.77,0.0,16.88,6.94,0.22,25.15,736.79
Pizza Hut,All Meals,Veggie Supreme (Medium),229.6 g,550.26,71.45,22.89,5.72,0.0,18.6,7.12,0.21,41.83,762.46
Pizza Hut,All Meals,Chicken n Corn Delight (Medium),218g,444.9,58.79,21.7,2.68,0.0,13.66,5.34,0.15,52.42,1027.51
Pizza Hut,All Meals,Chicken Pepper Crunch (Medium),221.6 g,591.94,66.92,28.21,7.76,0.0,23.49,9.86,0.31,72.26,1032.12
Pizza Hut,All Meals,Chicken Pepperoni (Medium),197.6 g,561.68,64.48,18.99,6.07,4.62,25.31,9.96,0.28,143.81,1213.2
Pizza Hut,All Meals,Chicken Sausage (Medium),194 g,567.29,62.66,23.03,5.99,0.0,24.95,10.28,0.33,49.45,869.39
Pizza Hut,All Meals,Chicken Supreme (Medium),227 g,585.84,62.33,31.42,6.81,0.0,23.4,8.76,0.25,52.12,1664.11
Pizza Hut,All Meals,Chicken Tikka Supreme (Medium),223.6 g,563.43,64.11,29.16,5.59,0.0,21.15,7.98,0.22,32.94,1722.1
Pizza Hut,All Meals,Double Chicken Sausage (Medium),189.6 g,568.53,62.97,23.45,6.45,5.54,24.76,9.2,0.27,114.61,814.18
Pizza Hut,All Meals,Italian Chicken Feast (Medium),213.2 g,561.95,66.92,25.11,6.67,4.61,21.53,7.97,0.21,73.32,1344.27
Pizza Hut,All Meals,Malai Chicken Tikka (Medium),215.6 g,547.62,69.49,27.83,5.02,0.0,17.59,7.8,0.26,31.71,1653.11
Pizza Hut,All Meals,Spiced Chicken Meatball (Medium),198 g,505.95,59.1,26.71,8.51,0.0,18.08,8.81,0.3,63.86,963.78
Pizza Hut,All Meals,Triple Chicken Feast (Medium),253 g,554.98,65.53,31.57,6.38,0.0,29.75,12.09,0.35,56.04,1858.82
Pizza Hut,All Meals,Chicken Tikka (Medium),226 g,588.84,72.25,26.19,10.19,0.0,21.67,9.22,0.27,55.91,978.9
Pizza Hut,All Meals,Momo Mia Chicken (Medium),259 g,634.16,78.58,27.69,11.09,5.67,23.23,9.74,0.36,29.58,1038.25
Pizza Hut,All Meals,Corn n Cheese (Personal),126 g,332.61,44.5,15.12,2.85,0.0,10.46,4.13,0.14,7.75,551.88
Pizza Hut,All Meals,Country Feast (Personal),161 g,376.45,58.33,16.44,5.65,0.0,8.6,3.32,0.1,3.99,715.45
Pizza Hut,All Meals,Double Cheese (Personal),126 g,370.43,50.55,15.66,2.99,0.0,11.73,5.57,0.19,17.31,608.08
Pizza Hut,All Meals,Double Paneer Supreme (Personal),157 g,414.59,45.34,18.35,3.3,0.0,17.76,9.31,0.3,18.31,958.27
Pizza Hut,All Meals,Farmer`s Pick (Personal),148 g,361.77,46.87,17.29,2.21,0.0,11.63,3.88,0.13,8.04,764.54
Pizza Hut,All Meals,Margherita (Personal),113 g,311.42,43.01,13.31,3.32,0.0,9.57,4.16,0.12,13.0,632.92
Pizza Hut,All Meals,Spiced Paneer (Personal),140 g,359.58,41.31,19.1,5.84,0.0,13.1,6.22,0.21,16.34,574.0
Pizza Hut,All Meals,Tandoori Onion (Personal),122 g,365.21,49.59,13.74,1.54,0.0,12.43,4.59,0.16,9.46,745.08
Pizza Hut,All Meals,Tandoori Paneer (Personal),149 g,477.47,66.75,16.64,5.77,0.0,15.99,8.08,0.31,15.18,894.46
Pizza Hut,All Meals,Veg Exotica (Personal),153 g,335.82,49.08,13.77,3.61,0.0,9.38,3.18,0.11,12.1,528.48
Pizza Hut,All Meals,Veg Kebab Surprise (Personal),177 g,472.77,56.18,21.95,4.74,0.0,17.81,8.11,0.25,15.12,1108.02
Pizza Hut,All Meals,Veggie Feast (Personal),143 g,362.03,52.4,15.82,3.95,0.0,9.91,3.76,0.11,11.87,801.89
Pizza Hut,All Meals,Veggie Lover (Personal),155 g,390.8,53.27,16.07,3.19,0.0,12.6,4.98,0.19,12.74,574.06
Pizza Hut,All Meals,Veggie Supreme (Personal),160 g,382.29,48.88,16.7,3.73,0.0,13.33,5.79,0.21,15.84,549.82
Pizza Hut,All Meals,Veggie Tandoori (Personal),136 g,388.81,51.14,13.23,2.22,0.0,14.59,6.22,0.23,16.74,732.5
Pizza Hut,All Meals,Chicken n Corn Delight (Personal),148 g,310.91,38.81,15.82,3.05,0.0,10.37,4.22,0.13,16.31,714.32
Pizza Hut,All Meals,Chicken Pepper Crunch (Personal),150 g,388.89,43.38,18.54,4.82,0.0,15.69,6.53,0.21,17.25,763.64
Pizza Hut,All Meals,Chicken Pepperoni (Personal),137 g,385.35,44.11,14.12,3.89,0.0,16.93,6.63,0.18,23.87,802.98
Pizza Hut,All Meals,Chicken Sausage (Personal),131 g,374.33,41.54,15.29,4.07,0.0,16.34,6.69,0.21,14.13,679.89
Pizza Hut,All Meals,Chicken Supreme (Personal),155 g,1309.75,41.48,20.55,4.09,0.0,15.28,6.06,0.16,27.36,1309.75
Pizza Hut,All Meals,Chicken Tikka Supreme (Personal),163 g,405.84,47.19,20.24,3.52,0.0,15.09,6.1,0.2,22.79,1193.62
Pizza Hut,All Meals,Double Chicken Sausage (Personal),131 g,386.9,41.64,15.41,3.79,3.09,17.63,7.19,0.24,22.28,571.16
Pizza Hut,All Meals,Italian Chicken Feast (Personal),153 g,407.76,47.06,18.83,5.2,0.0,16.02,6.26,0.15,53.53,881.28
Pizza Hut,All Meals,Malai Chicken Tikka (Personal),150 g,385.98,48.24,18.69,3.2,0.0,13.14,5.75,0.21,16.2,1096.14
Pizza Hut,All Meals,Spiced Chicken Meatball (Personal),137 g,354.86,40.58,17.99,5.29,0.0,13.4,5.23,0.15,21.56,699.73
Pizza Hut,All Meals,Triple Chicken Feast (Personal),176 g,462.99,48.22,21.7,4.65,0.0,20.17,8.36,0.21,29.8,1202.8
Pizza Hut,All Meals,Chicken Tikka (Personal),153 g,407.65,48.93,18.15,6.78,0.0,15.48,6.92,0.23,0.23,682.38
Pizza Hut,All Meals,Veggie Tandoori (Medium),168 g,480.3,63.17,16.35,2.74,0.0,18.03,7.68,0.29,20.68,904.85
Pizza Hut,All Meals,Corn n Cheese (Medium),154 g,406.53,54.39,18.48,3.48,0.0,12.78,5.05,0.17,9.47,674.52
Pizza Hut,All Meals,Country Feast (Medium),206 g,481.67,74.63,21.03,7.23,0.0,11.0,4.24,0.12,5.11,915.42
Pizza Hut,All Meals,Double Cheese (Medium),151 g,443.92,60.58,18.77,3.58,0.0,14.06,6.67,0.23,20.75,728.73
Pizza Hut,All Meals,Double Paneer Supreme (Medium),192 g,507.01,55.45,22.44,4.03,0.0,21.72,11.39,0.36,22.39,1171.89
Pizza Hut,All Meals,Farmer`s Pick (Medium),186 g,454.66,58.91,21.72,2.77,0.0,14.62,4.87,0.17,10.1,960.84
Pizza Hut,All Meals,Margherita (Medium),134 g,369.29,51.0,15.79,3.94,0.0,11.35,4.93,0.15,15.41,750.55
Pizza Hut,All Meals,Spiced Paneer (Medium),174 g,446.9,51.35,23.73,7.26,0.0,16.29,7.73,0.26,20.31,713.4
Pizza Hut,All Meals,Tandoori Onion (Medium),147 g,440.04,59.76,16.55,1.85,0.0,14.98,5.53,0.19,11.39,897.76
Pizza Hut,All Meals,Tandoori Paneer (Medium),183 g,586.42,81.98,20.44,7.08,0.0,19.64,9.92,0.38,18.65,1098.57
Pizza Hut,All Meals,Veg Exotica (Medium),183 g,401.67,58.71,16.47,4.32,0.0,11.22,3.81,0.13,14.48,632.1
Pizza Hut,All Meals,Veg Kebab Surprise (Medium),226 g,603.65,71.73,28.02,6.06,0.0,22.74,10.35,0.32,19.3,1414.76
Pizza Hut,All Meals,Veggie Feast (Medium),178 g,450.64,65.22,19.69,4.91,0.0,12.34,4.68,0.14,14.77,998.15
Pizza Hut,All Meals,Veggie Lover (Medium),193 g,486.61,66.33,20.01,3.98,0.0,15.69,6.2,0.23,15.86,714.79
Pizza Hut,All Meals,Veggie Supreme (Medium),198 g,473.08,60.49,20.67,4.61,0.0,16.49,7.17,0.26,19.6,680.41
Pizza Hut,All Meals,Chicken n Corn Delight (Medium),187 g,392.84,49.03,19.99,3.85,0.0,13.11,5.33,0.17,20.61,902.56
Pizza Hut,All Meals,Chicken Pepper Crunch (Medium),190 g,492.59,54.95,23.48,6.1,0.0,19.87,8.27,0.27,21.85,967.27
Pizza Hut,All Meals,Chicken Pepperoni (Medium),166 g,466.92,53.45,17.11,4.71,0.0,20.52,8.03,0.22,28.92,972.96
Pizza Hut,All Meals,Chicken Sausage (Medium),158 g,451.49,50.1,18.44,4.91,0.0,19.7,8.07,0.25,17.05,820.02
Pizza Hut,All Meals,Chicken Supreme (Medium),195 g,485.2,52.18,25.86,5.15,0.0,19.23,7.62,0.2,34.42,1647.75
Pizza Hut,All Meals,Chicken Tikka Supreme (Medium),197 g,490.49,57.03,24.47,4.26,0.0,18.24,7.37,0.24,27.54,1442.59
Pizza Hut,All Meals,Double Chicken Sausage (Medium),158 g,466.64,50.23,18.58,4.57,3.73,21.27,8.67,0.28,26.88,688.88
Pizza Hut,All Meals,Italian Chicken Feast (Medium),182 g,485.05,55.98,22.4,6.19,0.0,19.06,7.44,0.18,63.68,1048.32
Pizza Hut,All Meals,Malai Chicken Tikka (Medium),184 g,473.47,59.17,22.93,3.92,0.0,16.12,7.05,0.26,19.87,1344.6
Pizza Hut,All Meals,Spiced Chicken Meatball (Medium),167 g,432.56,49.47,21.93,6.45,0.0,16.33,6.38,0.18,26.29,852.95
Pizza Hut,All Meals,Triple Chicken Feast (Medium),222 g,583.99,60.83,27.37,5.86,0.0,25.44,10.55,0.27,37.58,1517.17
Pizza Hut,All Meals,Chicken Tikka (Medium),194 g,516.89,62.04,23.01,8.59,0.0,19.63,8.77,0.29,30.81,865.24
Pizza Hut,All Meals,Cheese Maxx (Personal),65.5 g,147.38,4.05,5.17,0.24,0.0,12.27,6.79,0.2,1.51,373.73
Pizza Hut,All Meals,Veg kebab (Personal),73 g,192.02,13.73,5.86,0.71,4.62,12.63,3.58,0.06,3.78,561.88
Pizza Hut,All Meals,Chicken Seekh Kebab (Personal),76.5 g,194.67,7.16,8.03,0.55,4.38,14.88,3.91,0.07,30.25,487.88
Pizza Hut,All Meals,Cheese Maxx (Medium),69 g,149.37,4.04,4.97,0.22,0.0,12.59,6.94,0.2,0.58,367.88
Pizza Hut,All Meals,Veg kebab (Medium),77 g,202.06,14.33,6.12,0.72,4.9,13.36,3.78,0.06,4.01,580.03
Pizza Hut,All Meals,Chicken Seekh Kebab (Medium),81 g,204.75,7.37,8.42,0.55,4.63,15.73,4.13,0.07,32.03,501.32
Pizza Hut,All Meals,Classic Paneer Capsicum & Onion,157 g,443.87,57.4,12.87,10.9,0.0,18.09,4.87,0.09,5.13,1143.26
Pizza Hut,All Meals,Schezwan Meatball & Capsicum,146 g,401.27,50.98,10.44,9.75,0.0,17.29,3.24,0.03,5.5,913.93
Pizza Hut,All Meals,Spicy Baked Chicken Wings,74 g,140.22,6.77,14.12,1.69,0.0,8.7,2.56,0.02,87.93,993.25
Pizza Hut,All Meals,Garlic Bread,55 g,246.73,18.45,3.58,2.14,2.19,17.63,8.96,0.36,22.4,330.22
Pizza Hut,All Meals,Garlic Bread Spicy Supreme,85.5 g,270.17,29.21,5.27,2.7,1.0,14.7,9.99,0.45,9.07,887.49
Pizza Hut,All Meals,Cheesy Comfort (Veg),169 g,332.02,28.68,18.81,3.3,5.21,15.78,6.19,0.24,37.26,692.95
Pizza Hut,All Meals,Cheesy Comfort (Chicken),173.5 g,439.02,29.6,20.35,4.01,0.0,26.58,10.74,0.38,78.27,1050.16
Pizza Hut,All Meals,Indi Rockin Roll - Veg,94.5 g,289.81,28.58,11.81,2.35,6.96,14.25,6.02,0.1,36.05,632.04
Pizza Hut,All Meals,Indi Rockin Roll - Chicken,94.5 g,255.65,27.07,12.32,2.41,5.34,10.9,4.64,0.09,46.48,544.72
Pizza Hut,All Meals,Zesty Pocket (Veg),77.5 g,192.91,22.1,5.7,1.94,2.95,9.08,4.22,0.13,11.4,274.33
Pizza Hut,All Meals,Zesty Pocket (Chicken),78.5 g,157.99,18.01,6.97,1.81,3.19,6.45,1.96,0.04,15.35,327.26
Pizza Hut,All Meals,Baked Momos (Veg),95 g,218.975,17.99,6.1,3.62,3.26,13.62,5.16,0.09,8.29,624.02
Pizza Hut,All Meals,Baked Momos (Chicken),95 g,223.71,15.72,9.94,2.95,2.85,13.45,4.85,0.095,40.46,542.52
Pizza Hut,All Meals,Tear and Share (Veg),146.5 g,424.82,45.21,14.65,3.05,0.0,20.6,6.36,0.16,22.69,841.66
Pizza Hut,All Meals,Tear and Share (Chicken),150 g,442.46,48.92,18.47,3.63,0.0,19.22,5.88,0.14,43.85,838.16
Pizza Hut,All Meals,Choco Vanilla Romance,55 g,90.48,17.93,1.36,0.45,13.48,1.62,1.21,0.01,3.28,40.309
Pizza Hut,All Meals,Ebony & Ivory,92 g,201.84,34.73,1.38,2.15,20.79,6.52,4.79,0.01,3.28,142.35
Pizza Hut,All Meals,Choco Chip Cookie Sundae (Regular),180 g,433.72,68.66,6.39,3.59,44.01,15.12,10.36,0.02,6.56,264.09
Pizza Hut,All Meals,Jamuntini,250 ml,134.0,32.18,0.21,0.14,31.58,0.38,0.04,0.0,0.0,450.09
Pizza Hut,All Meals,Masal Pepsi,250 ml,126.5,30.93,0.21,0.14,30.33,0.38,0.04,0.0,0.0,412.59
Pizza Hut,All Meals,Masala Mirinda,250 ml,156.5,38.18,0.21,0.14,37.58,0.38,0.04,0.0,0.0,420.0
Pizza Hut,All Meals,Pepsi,250 ml,107.5,27.25,0.0,0.0,27.25,0.0,0.0,0.0,0.0,7.5
Pizza Hut,All Meals,7 up,250 ml,115.0,28.5,0.0,0.0,28.5,0.0,0.0,0.0,0.0,45.0
Pizza Hut,All Meals,Mirinda,250 ml,137.5,34.5,0.0,0.0,34.5,0.0,0.0,0.0,0.0,15.0
Pizza Hut,All Meals,Lipton Ice Tea Lemon Flavoured,250 ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Pizza Hut,All Meals,Pepsi Black,200 ml,74.0,18.6,0.0,0.0,18.6,0.0,0.0,0.0,0.0,22.0
Burger King,All Meals,Crispy veg,138,426.7,52.0,8.4,8.0,6.2,20.6,7.2,0.0,173.04000000000002,0.7
Burger King,All Meals,BK veggie,137,398.2,52.4,8.6,11.0,4.9,17.2,5.8,0.0,147.92,0.6
Burger King,All Meals,Veg Chilli Cheese,149,422.6,50.6,11.6,10.0,5.1,19.3,8.1,0.0,223.88,1.0
Burger King,All Meals,Paneer king,165,525.8,67.1,14.0,10.0,6.9,22.4,10.4,0.0,313.59999999999997,1.4
Burger King,All Meals,Veg Supreme,147,374.1,49.2,11.5,7.0,6.6,16.5,5.0,0.0,189.75,0.6
Burger King,All Meals,Veg Surprise,159,385.1,51.7,10.3,5.0,10.5,15.3,8.7,0.1,157.59000000000003,1.0
Burger King,All Meals,Veg Whopper,296,749.0,100.6,11.0,12.0,8.3,31.4,16.0,0.0,345.4,1.6
Burger King,All Meals,Masala Whopper Veg,310,753.2,94.7,19.0,8.0,11.8,33.2,13.5,0.0,630.8000000000001,1.7
Burger King,All Meals,BK Grill,118,332.1,36.7,15.3,10.0,3.7,13.8,6.2,0.0,211.14000000000001,0.8
Burger King,All Meals,Chicken Tandoori Grill,187,369.1,35.5,24.1,4.0,9.4,14.6,3.6,0.0,351.86,1.6
Burger King,All Meals,Chicken Chilli Cheese,155,406.1,47.9,16.8,7.0,7.3,16.4,7.6,0.0,275.52,0.9
Burger King,All Meals,Chicken kheema,121,369.1,45.8,12.1,12.0,3.8,15.3,5.7,0.0,185.13,0.6
Burger King,All Meals,Crispy chicken,116,345.2,39.0,12.4,9.0,4.5,15.5,7.1,0.0,192.20000000000002,0.6
Burger King,All Meals,Xtra Long chicken,211,533.5,61.1,23.4,7.0,9.1,21.7,5.6,0.0,507.78,1.5
Burger King,All Meals,Chicken whopper,287,662.0,60.3,33.2,8.0,7.4,38.3,29.8,0.0,1271.56,1.4
Burger King,All Meals,Mutton Whopper,287,624.2,71.0,12.5,7.0,10.8,30.4,24.3,0.0,380.0,1.2
Burger King,All Meals,Fiery chicken (South),226,400.0,61.7,22.9,8.0,7.5,16.2,9.5,0.0,370.97999999999996,1.1
Burger King,All Meals,Fiery Chicken (North & West),226,409.1,61.9,23.1,9.0,6.6,18.1,8.7,0.0,418.11000000000007,1.0
Burger King,All Meals,Masala Whopper Chicken,302,664.9,68.0,33.3,7.0,9.1,28.9,11.5,0.0,962.3699999999999,1.8
Burger King,All Meals,Masala Whopper Mutton,302,631.4,69.3,29.3,6.0,11.3,26.4,15.3,0.0,773.52,1.7
Burger King,All Meals,Chicken fries 5 pcs,65,206.0,19.9,10.9,10.0,2.0,9.2,4.4,0.0,100.28,0.5
Burger King,All Meals,Chicken fries 9 pcs,117,370.7,35.8,19.6,10.0,3.7,16.6,8.0,0.0,325.36000000000007,0.8
Burger King,All Meals,Chicken wings Fried ( 2Pcs),78*,167.5,0.9,17.7,inf,0.0,10.3,4.0,0.0,182.31,0.5
