Company,Category,Product,Per Serve Size,Energy (kCal),Carbohydrates (g),Protein (g),Fiber (g),Sugar (g),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg)
Burger King,All Meals,Chicken wings Fried ( 4Pcs),155*,332.8,1.8,35.2,inf,0.0,20.5,8.0,0.0,721.6,0.9
Burger King,All Meals,Chicken wings Fried ( 8Pcs),310*,665.7,3.6,70.4,inf,0.0,41.1,15.9,0.0,2893.4400000000005,1.8
Burger King,All Meals,Chicken wings Fried ( 15Pcs),570*,1224.0,6.6,129.4,inf,0.0,75.5,29.3,0.0,9769.7,3.3
Burger King,All Meals,Chicken wings Grilled ( 2Pcs),65*,167.5,18.1,13.8,inf,0.0,4.4,1.3,0.0,60.720000000000006,0.5
Burger King,All Meals,Chicken wings Grilled ( 4Pcs),130*,335.0,36.2,27.7,inf,0.0,8.8,2.6,0.0,243.76000000000002,1.1
Burger King,All Meals,Chicken wings Grilled ( 8Pcs),260*,669.9,72.4,55.4,inf,0.0,17.7,5.2,0.0,980.5799999999999,2.2
Burger King,All Meals,Chicken wings Grilled ( 15Pcs),495*,1275.5,137.8,105.4,inf,0.0,33.6,9.9,0.0,3541.4400000000005,4.1
Burger King,All Meals,Fiery Rings 2Pcs,40,137.6,18.0,3.5,16.0,1.1,5.7,2.7,0.0,19.95,0.2
Burger King,All Meals,Fiery Rings 4Pcs,80,275.3,36.0,7.0,16.0,2.2,11.5,5.4,0.0,80.5,0.5
Burger King,All Meals,Veg strips 3 Pcs,52,136.6,16.7,2.7,9.0,1.9,6.5,3.1,0.0,17.55,0.2
Burger King,All Meals,Veg strips 6 Pcs,104,273.2,33.5,6.2,9.0,3.8,5.4,13.1,0.0,33.480000000000004,0.5
Burger King,All Meals,Potato Tots 8 Pcs,70,155.9,21.0,2.6,19.0,1.1,7.1,3.2,0.0,18.46,0.5
Burger King,All Meals,Fries Regular,74,263.9,37.7,4.4,42.0,0.9,10.6,4.9,0.0,46.64,0.2
Burger King,All Meals,Medium Fries,114,406.6,58.1,7.5,42.0,1.4,6.8,16.3,0.0,51.0,0.3
Burger King,All Meals,King fries,150,535.0,76.5,9.9,42.0,1.8,8.9,21.5,0.0,88.11000000000001,0.4
Burger King,All Meals,Cheesy fries,151,460.9,56.2,8.1,9.0,6.4,22.6,8.7,0.0,183.06,0.6
Burger King,All Meals,Cheesy Italian fries,191,530.9,63.0,10.8,6.0,10.0,26.1,26.1,0.0,281.88000000000005,1.1
Burger King,All Meals,Chicken keema Fries,192,541.4,55.9,15.3,9.0,6.2,28.5,10.0,0.0,436.05,0.9
Starbucks,Hot Breakfast,"Sausage, Egg & Cheddar Classic Breakfast Sandwich",170.0,500.0,41.0,15.0,1.0,3.0,28.0,9.0,0.2,165.0,920.0
Starbucks,Hot Breakfast,"Reduced-Fat Turkey-Style Bacon, Cheddar & Egg WhiteBreakfast Sandwich",120.0,230.0,28.0,13.0,2.0,3.0,6.0,2.5,0.1,25.0,540.0
Starbucks,Hot Breakfast,"Bacon, Gouda & Egg on Artisan Roll",116.0,350.0,30.0,17.0,0.0,0.0,18.0,7.0,0.1,165.0,820.0
Starbucks,Hot Breakfast,"Spinach, Feta & Egg White Breakfast Wrap",158.0,290.0,33.0,19.0,6.0,4.0,10.0,3.5,0.2,20.0,830.0
Starbucks,Hot Breakfast,"Roasted Ham, Swiss & Egg on Croissant Bun",159.0,450.0,42.0,19.0,1.0,6.0,23.0,12.0,0.5,220.0,780.0
Starbucks,Hot Breakfast,Egg & Cheddar on English Muffin,110.0,280.0,27.0,12.0,2.0,2.0,13.0,5.0,0.2,160.0,460.0
Starbucks,Hot Breakfast,Double Smoked Bacon,147.0,490.0,40.0,17.0,1.0,7.0,27.0,13.0,0.1,215.0,910.0
Starbucks,Hot Breakfast,Whole Grain Oatmeal,42.0,160.0,28.0,5.0,4.0,0.0,2.5,0.5,0.0,0.0,125.0
Starbucks,Hot Breakfast,Maple Brown Sugar,13.0,50.0,13.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,3.0
Starbucks,Hot Breakfast,Dried Fruit,30.0,100.0,24.0,1.0,2.0,22.0,0.4,0.0,0.0,0.0,0.0
Starbucks,Hot Breakfast,Nut Medley,15.0,100.0,2.0,2.0,1.0,1.0,10.0,1.0,0.0,0.0,0.0
Starbucks,"Cookies, Brownies & Bars",Cherry Oat Bar,74.0,240.0,36.0,3.0,1.0,22.0,8.0,5.0,0.3,25.0,190.0
Starbucks,"Cookies, Brownies & Bars",Double Chocolate Chunk Brownie,84.0,380.0,41.0,4.0,2.0,28.0,23.0,7.0,0.3,70.0,170.0
Starbucks,"Cookies, Brownies & Bars",Gluten Free Marshmallow Dream Bar,60.0,240.0,45.0,2.0,0.0,23.0,5.0,3.0,0.1,15.0,260.0
Starbucks,"Cookies, Brownies & Bars",Oat Fudge Bar,85.0,360.0,45.0,5.0,3.0,26.0,20.0,11.0,0.1,20.0,230.0
Starbucks,"Cookies, Brownies & Bars",Blueberry Bar,75.0,250.0,35.0,4.0,3.0,4.0,13.0,6.0,0.3,20.0,180.0
Starbucks,"Cookies, Brownies & Bars",Oat Bar,80.0,360.0,43.0,6.0,5.0,12.0,19.0,11.0,1.0,40.0,220.0
Starbucks,"Cookies, Brownies & Bars",Chocolate Chunk Cookie,90.0,380.0,54.0,5.0,2.0,34.0,19.0,12.0,0.3,55.0,250.0
Starbucks,"Cookies, Brownies & Bars",Gluten Free Flourless Chocolate Cookie,45.0,170.0,30.0,2.0,2.0,26.0,5.0,2.5,0.0,0.0,110.0
Starbucks,"Cookies, Brownies & Bars",Fruit & Oat Cookie,90.0,370.0,52.0,6.0,3.0,28.0,15.0,8.0,0.3,60.0,190.0
Starbucks,Hot Breakfast,Multigrain Bagel,113.0,290.0,58.0,14.0,7.0,5.0,3.0,0.0,0.0,0.0,460.0
Starbucks,"Croissants, Danishes & Bagels",Everything with Cheese Bagel,99.0,270.0,54.0,10.0,2.0,5.0,2.0,1.0,0.0,0.0,480.0
Starbucks,"Croissants, Danishes & Bagels",Asiago & Cheddar Pretzel,113.0,360.0,46.0,16.0,2.0,1.0,12.0,7.0,0.0,35.0,1070.0
Starbucks,"Croissants, Danishes & Bagels",Butter Croissant,64.0,270.0,28.0,6.0,1.0,6.0,14.0,9.0,0.0,55.0,320.0
Starbucks,"Croissants, Danishes & Bagels",Chocolate Croissant,73.0,330.0,35.0,6.0,3.0,13.0,17.0,11.0,0.0,50.0,280.0
Starbucks,"Croissants, Danishes & Bagels",Ham & Cheese Savoury Foldover,92.0,250.0,24.0,13.0,1.0,4.0,11.0,6.0,0.3,50.0,480.0
Starbucks,"Croissants, Danishes & Bagels",Pepperoni and Tomato Savoury Foldover,91.0,270.0,27.0,10.0,3.0,6.0,14.0,7.0,0.0,50.0,510.0
Starbucks,"Croissants, Danishes & Bagels",Spinach Savoury Foldover,93.0,250.0,23.0,4.0,3.0,4.0,15.0,8.0,0.0,50.0,380.0
Starbucks,"Croissants, Danishes & Bagels",Morning Bun,110.0,350.0,54.0,7.0,2.0,21.0,15.0,10.0,0.5,40.0,380.0
Starbucks,"Croissants, Danishes & Bagels",Cheese Danish,80.0,300.0,35.0,6.0,1.0,12.0,15.0,10.0,0.0,50.0,390.0
Starbucks,"Loaves, Coffee Cakes & Cake Pops",Baa Loaf,115.0,380.0,52.0,5.0,2.0,29.0,17.0,3.0,0.2,70.0,270.0
Starbucks,"Loaves, Coffee Cakes & Cake Pops",Lemon Loaf,115.0,430.0,57.0,6.0,1.0,30.0,20.0,6.0,0.3,90.0,310.0
Starbucks,"Loaves, Coffee Cakes & Cake Pops",Reduced Fat Cinnamon Swirl Coffee Cake,110.0,370.0,67.0,5.0,2.0,41.0,9.0,4.5,0.3,20.0,280.0
Starbucks,"Loaves, Coffee Cakes & Cake Pops",Birthday Cake Pop,43.0,180.0,24.0,1.0,0.0,18.0,9.0,5.0,0.0,10.0,80.0
Starbucks,"Loaves, Coffee Cakes & Cake Pops",Blueberry Yogurt and Honey Muffin,113.0,380.0,53.0,6.0,1.0,30.0,16.0,4.0,0.0,60.0,260.0
Starbucks,"Loaves, Coffee Cakes & Cake Pops",Blueberry Scone,100.0,360.0,50.0,5.0,2.0,15.0,15.0,9.0,0.4,50.0,420.0
Starbucks,"Loaves, Coffee Cakes & Cake Pops",Cranberry Orange Scone,110.0,420.0,64.0,6.0,1.0,26.0,15.0,9.0,0.5,55.0,430.0
Starbucks,Seasonal Bakery Offerings,Pumpkin Cream Cheese Muffin,113.0,350.0,53.0,5.0,1.0,34.0,14.0,4.0,0.3,55.0,430.0
Starbucks,Seasonal Bakery Offerings,Pumpkin Bread,123.0,410.0,63.0,6.0,2.0,39.0,15.0,2.5,0.2,55.0,500.0
Starbucks,Seasonal Bakery Offerings,Pumpkin Scone,120.0,450.0,64.0,4.0,2.0,41.0,21.0,14.0,0.5,60.0,390.0
Starbucks,Seasonal Bakery Offerings,Apple Poundcake,120.0,360.0,44.0,5.0,2.0,28.0,18.0,10.0,0.5,100.0,110.0
Starbucks,Seasonal Bakery Offerings,Pumpkin Sugar Cookie,68.0,330.0,37.0,4.0,0.0,18.0,19.0,12.0,0.4,30.0,125.0
Starbucks,Seasonal Bakery Offerings,Pecan Tart,75.0,330.0,39.0,4.0,1.0,19.0,18.0,8.0,0.4,75.0,210.0
Starbucks,Fruit & Yogurt,Greek Yogurt & Honey Parfait,165.0,310.0,36.0,13.0,2.0,22.0,12.0,6.0,0.4,30.0,60.0
Starbucks,Fruit & Yogurt,Strawberry Blueberry Yogurt Parfait,202.0,310.0,51.0,10.0,3.0,22.0,5.0,1.0,0.0,10.0,105.0
Starbucks,Fruit & Yogurt,Seasonal Fruit Cup,170.0,80.0,20.0,1.0,3.0,17.0,0.0,0.0,0.0,0.0,15.0
McDonalds,REGULAR MENU,McVeggie™ Burger,168.0,402.05,56.54,10.24,2.0,7.9,13.83,5.34,0.16,2.49,706.13
McDonalds,REGULAR MENU,McAloo Tikki Burger®,146.0,339.52,50.27,8.5,2.0,7.05,11.31,4.27,0.2,1.47,545.34
McDonalds,REGULAR MENU,McSpicy™ Paneer Burger,199.0,652.76,52.33,20.29,3.0,8.35,39.45,17.12,0.18,21.85,1074.58
McDonalds,REGULAR MENU,Spicy Paneer Wrap,250.0,674.68,59.27,20.96,3.0,3.5,39.1,19.73,0.26,40.93,1087.46
McDonalds,REGULAR MENU,American Veg Burger,177.0,512.17,56.96,15.3,3.0,7.85,23.45,10.51,0.17,25.24,1051.24
McDonalds,REGULAR MENU,Veg Maharaja Mac,306.0,832.67,93.84,24.17,3.0,11.52,37.94,16.83,0.28,36.19,1529.22
McDonalds,REGULAR MENU,Green Chilli Aloo Naan,132.0,356.09,46.36,7.91,3.0,4.53,15.08,6.11,0.24,9.45,579.6
McDonalds,REGULAR MENU,Pizza Puff,87.0,228.21,24.79,5.45,3.0,2.73,11.44,5.72,0.09,5.17,390.74
McDonalds,REGULAR MENU,Mc chicken Burger,173.0,400.8,47.98,15.66,2.0,5.53,15.7,5.47,0.16,31.17,766.33
McDonalds,REGULAR MENU,FILLET-O-FISH Burger,136.0,348.11,38.85,15.44,3.0,5.58,14.16,5.79,0.21,32.83,530.54
McDonalds,REGULAR MENU,Mc Spicy Chicken Burger,186.0,451.92,46.08,21.46,2.0,5.88,19.36,7.63,0.18,66.04,928.52
McDonalds,REGULAR MENU,Spicy Chicken Wrap,257.0,567.19,57.06,23.74,2.0,2.52,26.89,12.54,0.27,87.63,1152.38
McDonalds,REGULAR MENU,Chicken Maharaja Mac,296.0,689.12,55.39,34.0,2.0,8.92,36.69,10.33,0.25,81.49,1854.71
McDonalds,REGULAR MENU,American Chicken Burger,165.0,446.95,38.54,20.29,3.0,7.48,22.94,7.28,0.15,47.63,1132.3
McDonalds,REGULAR MENU,Chicken Kebab Burger,138.0,357.05,47.9,8.64,3.0,5.08,14.02,4.84,0.13,1.51,548.79
McDonalds,REGULAR MENU,Green Chilli Kebab naan,138.0,230.95,31.06,5.67,2.0,3.64,9.32,3.27,0.19,8.74,410.78
McDonalds,REGULAR MENU,Mc Egg Masala Burger,126.2,290.42,32.89,12.45,2.0,4.89,12.27,3.64,0.11,213.09,757.91
McDonalds,REGULAR MENU,Mc Egg Burger for Happy Meal,123.0,282.98,31.32,12.29,2.0,4.66,12.21,3.63,0.11,213.09,399.41
McDonalds,REGULAR MENU,Ghee Rice with Mc Spicy Fried Chicken 1 pc,325.0,720.3,77.47,26.91,2.0,3.28,29.2,5.08,0.3,31.32,2399.49
McDonalds,REGULAR MENU,McSpicy Fried Chicken 1 pc,115.0,248.76,12.7,17.33,2.0,0.58,14.29,2.82,0.06,31.11,873.89
McDonalds,REGULAR MENU,4 piece Chicken McNuggets,64.0,169.68,10.5,10.03,3.0,0.32,9.54,4.45,0.06,24.66,313.25
McDonalds,REGULAR MENU,6 piece Chicken McNuggets,96.0,254.52,15.74,15.04,3.0,0.48,14.3,6.68,0.1,36.99,469.87
McDonalds,REGULAR MENU,9 piece Chicken McNuggets,144.0,381.77,23.62,22.56,3.0,0.72,21.46,10.02,0.14,55.48,704.81
McDonalds,REGULAR MENU,2 piece Chicken Strips,58.0,164.44,2.68,10.17,3.0,0.29,12.38,11.41,0.06,30.1,477.22
McDonalds,REGULAR MENU,3 piece Chicken Strips,87.0,246.65,4.02,15.26,3.0,0.44,18.57,17.12,0.09,45.15,715.83
McDonalds,REGULAR MENU,5 piece Chicken Strips,145.0,411.09,0.73,25.43,3.0,0.72,28.54,0.15,75.26,6.7,1193.05
McDonalds,REGULAR MENU,Regular Fries,77.0,224.59,27.08,3.38,3.0,0.39,10.39,4.97,0.08,0.77,153.15
McDonalds,REGULAR MENU,Medium Fries,109.0,317.92,38.34,4.79,3.0,0.55,14.7,7.04,0.11,1.09,216.79
McDonalds,REGULAR MENU,Large Fries,154.0,449.17,54.16,6.76,3.0,0.77,20.77,9.95,0.15,1.54,306.29
McDonalds,REGULAR MENU,Regular Wedges,114.0,204.65,28.74,3.97,2.0,0.48,7.15,3.39,0.1,0.97,356.44
McDonalds,REGULAR MENU,Medium Wedges,156.0,280.05,39.33,5.44,2.0,0.66,9.79,4.64,0.13,1.33,487.76
McDonalds,REGULAR MENU,Large Wedges,216.0,387.76,54.46,7.53,2.0,0.92,13.55,6.43,0.18,1.84,675.35
McDonalds,REGULAR MENU,L1 Coffee,200.0,6.8,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McDonalds,REGULAR MENU,L1 Coffee with milk,205.0,35.8,1.6,1.0,0.0,3.45,2.0,1.2,0.08,6.0,14.0
McDonalds,REGULAR MENU,Double Chocochips Muffin,80.0,341.68,40.13,5.13,4.0,29.44,17.28,7.14,0.08,15.96,313.21
McDonalds,REGULAR MENU,Vanilla Chocochips Muffin,80.0,329.29,40.13,4.48,4.0,29.6,15.46,7.14,0.08,78.52,254.92
McDonalds,BREAKFAST MENU,Veg McMuffin,119.0,309.35,38.86,10.22,3.0,3.02,11.78,7.29,0.18,25.31,804.63
McDonalds,BREAKFAST MENU,Double Cheese McMuffin,100.0,273.78,29.0,9.58,3.0,2.59,12.82,8.84,0.21,37.75,622.95
McDonalds,BREAKFAST MENU,Spicy Egg McMuffin,123.2,278.27,31.37,11.49,2.0,2.63,11.81,3.43,0.11,212.61,773.6
McDonalds,BREAKFAST MENU,Sausage Mc Muffin,112.0,281.44,28.62,16.25,3.0,2.38,10.81,6.04,0.17,53.02,742.6
McDonalds,BREAKFAST MENU,Sausage Mc Muffin with egg,157.0,290.42,28.87,22.46,2.0,2.61,15.94,8.08,0.22,264.8,804.04
McDonalds,BREAKFAST MENU,Egg McMuffin,112.0,283.46,28.12,14.05,3.0,2.38,12.31,6.92,0.17,233.3,519.31
McDonalds,BREAKFAST MENU,Hot Cake with maple syrup,142.0,432.98,68.01,8.6,3.0,25.72,14.02,7.11,0.32,28.14,615.74
McDonalds,BREAKFAST MENU,Hash Brown,64.0,140.29,15.63,1.93,2.0,0.32,7.32,3.42,0.06,0.64,275.26
McDonalds,McCAFE MENU,Espresso,26.5,12.87,2.55,0.52,0.0,0.13,0.03,0.03,0.03,0.27,0.32
McDonalds,McCAFE MENU,Espresso Machiato,76.5,44.98,4.97,2.09,1.0,2.5,2.02,1.49,0.08,6.27,26.05
McDonalds,McCAFE MENU,Americano (S),276.5,12.87,2.55,0.52,0.0,0.13,0.03,0.03,0.03,0.27,0.32
McDonalds,McCAFE MENU,Americano (R),347.5,23.07,4.57,0.94,0.0,0.24,0.05,0.05,0.05,0.48,0.57
McDonalds,McCAFE MENU,Americano (L),455.0,26.71,5.3,1.09,0.0,0.28,0.06,0.06,0.06,0.55,0.65
McDonalds,McCAFE MENU,Cappuccino (S),201.5,125.25,11.02,6.02,1.0,8.4,7.01,5.15,0.2,21.27,90.39
McDonalds,McCAFE MENU,Cappuccino (R),297.5,183.61,16.67,8.79,1.0,12.05,10.02,7.37,0.3,30.48,129.24
McDonalds,McCAFE MENU,Cappuccino (L),355.0,219.36,19.81,10.51,1.0,14.45,12.03,8.85,0.36,36.55,155.06
McDonalds,McCAFE MENU,Latte (S),236.5,147.72,12.71,7.12,1.0,10.06,8.41,6.18,0.24,25.47,108.4
McDonalds,McCAFE MENU,Latte (R),307.5,190.03,17.15,9.1,1.0,12.52,10.42,7.67,0.31,31.68,134.39
McDonalds,McCAFE MENU,Latte (L),375.0,232.2,20.77,11.14,1.0,15.4,12.82,9.43,0.38,38.95,165.36
McDonalds,McCAFE MENU,Flat White (S),266.5,166.99,14.16,8.06,1.0,11.47,9.6,7.06,0.27,29.07,123.84
McDonalds,McCAFE MENU,Flat White (R),347.5,215.72,19.08,10.36,1.0,14.41,12.02,8.84,0.35,36.48,154.98
McDonalds,McCAFE MENU,Flat White (L),405.0,251.47,22.22,12.08,1.0,16.81,14.02,10.31,0.41,42.55,180.8
McDonalds,McCAFE MENU,Mocha (S),242.5,185.85,22.59,7.15,1.0,17.57,8.2,5.94,0.26,24.43,132.84
McDonalds,McCAFE MENU,Mocha (R),311.5,244.0,31.72,8.99,1.0,23.56,9.91,7.17,0.34,29.52,168.47
McDonalds,McCAFE MENU,Mocha (L),377.0,302.02,40.04,10.88,1.0,29.96,12.01,8.67,0.41,35.67,209.09
McDonalds,McCAFE MENU,Babycino,127.0,143.5,22.85,3.87,1.0,18.53,4.38,3.08,0.15,12.27,96.44
McDonalds,McCAFE MENU,Hot Chocolate (S),223.0,239.42,37.08,6.73,1.0,30.31,7.77,5.49,0.26,22.03,167.21
McDonalds,McCAFE MENU,Hot Chocolate (R),259.0,296.81,48.41,7.7,1.0,39.24,8.76,6.13,0.32,24.59,207.09
McDonalds,McCAFE MENU,Hot Chocolate (L),367.0,383.29,58.43,11.01,1.0,47.96,12.84,9.09,0.43,36.67,273.35
McDonalds,McCAFE MENU,Premium Dark Hot Chocolate,153.0,214.21,33.04,6.15,1.0,25.73,5.96,4.27,0.15,14.73,68.28
McDonalds,McCAFE MENU,Double Dark Hot Chocolate,163.0,255.78,41.29,6.87,2.0,31.81,6.32,4.49,0.16,14.83,70.26
McDonalds,McCAFE MENU,English Breakfast (S),279.0,9.93,0.28,0.56,0.0,1.4,0.28,0.28,0.28,2.79,13.84
McDonalds,McCAFE MENU,English Breakfast (R),330.0,11.75,0.33,0.66,0.0,1.65,0.33,0.33,0.33,3.3,16.37
McDonalds,McCAFE MENU,English Breakfast (L),456.0,16.23,0.46,0.91,0.0,2.28,0.46,0.46,0.46,4.56,22.62
McDonalds,McCAFE MENU,Moroccon Mint Green Tea (S),279.0,6.25,2.79,0.33,0.0,1.4,0.28,0.28,0.28,2.79,14.95
McDonalds,McCAFE MENU,Moroccon Mint Green Tea (R),330.0,7.39,3.3,0.4,0.0,1.65,0.33,0.33,0.33,3.3,17.69
McDonalds,McCAFE MENU,Moroccon Mint Green Tea (L),456.0,10.21,4.56,0.55,0.0,2.28,0.46,0.46,0.46,4.56,24.44
McDonalds,McCAFE MENU,Strawberry Green Tea (S),279.0,7.03,2.79,0.47,0.0,1.4,0.28,0.28,0.28,2.79,14.54
McDonalds,McCAFE MENU,Strawberry Green Tea (R),330.0,8.32,3.3,0.56,0.0,1.65,0.33,0.33,0.33,3.3,17.19
McDonalds,McCAFE MENU,Strawberry Green Tea (L),456.0,11.49,4.56,0.78,0.0,2.28,0.46,0.46,0.46,4.56,23.76
McDonalds,McCAFE MENU,Lemon Ice Tea,245.0,121.86,30.59,0.27,0.0,26.53,0.17,0.17,0.17,1.65,10.26
McDonalds,McCAFE MENU,Strawberry Ice Tea,236.5,94.95,24.17,0.24,0.0,21.1,0.16,0.16,0.16,1.57,9.72
McDonalds,McCAFE MENU,Green Apple Ice Tea,236.5,94.94,24.17,0.24,0.0,20.75,0.16,0.16,0.16,1.57,9.61
McDonalds,McCAFE MENU,Iced Coffee,291.5,185.34,31.88,4.36,1.0,26.95,4.45,3.26,0.15,12.13,78.35
McDonalds,McCAFE MENU,Cold Coffee Frappe,296.5,331.17,45.39,4.98,1.0,35.57,14.73,13.91,0.16,9.18,188.93
McDonalds,McCAFE MENU,Mocha Frappe,320.5,397.98,60.93,5.49,1.0,47.55,15.01,14.0,0.2,9.42,233.32
McDonalds,McCAFE MENU,Chocolate Oreo Frappe,334.0,481.11,72.51,6.03,1.0,55.14,18.89,15.91,0.22,9.36,332.6
McDonalds,McCAFE MENU,Strawberry Shake,259.0,255.51,44.07,3.67,1.0,37.42,7.44,6.68,0.12,8.39,139.97
McDonalds,McCAFE MENU,Chocolate Shake,259.0,270.9,46.76,4.16,1.0,37.78,7.7,6.74,0.14,8.39,178.46
McDonalds,McCAFE MENU,Mango Smoothie,280.0,231.44,46.25,3.21,1.0,38.87,3.63,2.65,0.14,9.89,85.45
McDonalds,McCAFE MENU,Mixed Berry Smoothie,290.0,235.43,47.16,3.33,1.0,43.0,3.59,2.64,0.15,9.99,92.07
McDonalds,McCAFE MENU,Raw Mango Cooler,310.0,102.38,25.18,0.14,0.0,21.06,0.04,0.04,0.04,0.4,102.68
McDonalds,McCAFE MENU,Mix Berry Cooler,310.0,103.85,25.56,0.16,0.0,21.25,0.04,0.04,0.04,0.4,23.82
McDonalds,McCAFE MENU,Sweet Lime Beverage,310.0,128.21,31.72,0.07,0.0,28.72,0.08,0.0,0.0,0.0,66.2
McDonalds,McCAFE MENU,Iced Americano,266.5,150.85,26.01,3.59,1.0,21.58,3.57,2.62,0.13,9.76,62.75
McDonalds,McCAFE MENU,American Mud Pie Shake,317.0,398.19,64.75,5.67,1.0,53.4,12.77,11.38,0.2,10.89,185.73
McDonalds,McCAFE MENU,Soft serve cone,81.29,85.73,15.23,1.99,1.0,10.68,1.82,1.31,0.05,4.75,40.78
McDonalds,McCAFE MENU,McSwirl ChocoDip,93.29,160.14,20.92,2.71,2.0,15.39,7.14,5.25,0.07,5.71,51.31
McDonalds,McCAFE MENU,Regular Soft Serve: Hot Fudge,91.79,121.64,19.11,2.25,1.0,17.07,4.02,3.01,0.08,5.85,65.56
McDonalds,McCAFE MENU,Medium Soft Serve: Hot Fudge,132.08,197.45,30.42,3.49,1.0,27.01,6.87,5.16,0.13,8.55,110.39
McDonalds,McCAFE MENU,Regular Soft Serve: Strawberry,91.79,100.99,19.78,1.54,1.0,17.66,1.77,1.3,0.06,4.85,34.51
McDonalds,McCAFE MENU,Medium Soft Serve: Strawberry,132.08,156.14,31.77,2.05,1.0,28.2,2.36,1.74,0.1,6.55,48.28
McDonalds,McCAFE MENU,Regular Soft Serve: Brownie with Hot Fudge,110.79,205.26,35.26,3.2,2.0,20.75,5.45,3.65,0.1,6.04,100.89
McDonalds,McCAFE MENU,Medium Soft Serve: Brownie with Hot Fudge,155.08,311.39,55.24,4.65,2.0,27.94,7.46,4.71,0.13,7.78,146.4
McDonalds,McCAFE MENU,Regular Blackforest,125.79,237.89,43.42,3.22,2.0,27.79,5.47,3.66,0.11,6.19,104.47
McDonalds,McCAFE MENU,Medium Blackforest,200.08,429.95,79.04,5.42,2.0,48.45,9.76,6.47,0.19,9.23,188.2
McDonalds,McCAFE MENU,Small McFlurry - Oreo,86.79,116.36,18.69,2.05,1.0,14.49,3.7,2.25,0.07,4.8,80.73
McDonalds,McCAFE MENU,Regular McFlurry - Oreo,147.38,209.39,33.42,3.58,1.0,25.35,6.81,4.07,0.12,8.0,150.9
McDonalds,DESSERTS MENU,American Triple Cheese Chicken,195.0,457.94,37.45,24.43,2.0,7.64,22.65,11.56,0.17,71.23,1396.17
McDonalds,DESSERTS MENU,American Triple Cheese Veg,207.0,524.69,56.24,19.54,3.0,7.9,23.16,14.78,0.19,48.74,1174.27
McDonalds,DESSERTS MENU,Cheese Lava Burger,240.0,671.06,74.25,14.99,3.0,16.27,33.48,14.12,0.21,33.21,1153.99
