Company,Category,Product,Per Serve Size,Energy (kCal),Carbohydrates (g),Protein (g),Fiber (g),Sugar (g),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg)
McDonalds,DESSERTS MENU,Chicken Cheese Lava Burger,307.0,834.36,76.03,27.37,3.0,16.75,45.18,17.0,0.27,73.11,1745.04
McDonalds,DESSERTS MENU,Chunky Chipotle American Burger Chicken,301.0,641.36,46.24,39.47,2.0,9.16,31.51,9.54,0.26,110.37,1906.27
McDonalds,DESSERTS MENU,McSpicy Premium Chicken Burger,264.5,622.25,43.6,31.49,2.0,6.07,34.65,15.55,0.24,302.61,1614.88
McDonalds,DESSERTS MENU,McSpicy Premium Veg Burger,212.5,634.71,46.0,22.44,3.0,7.57,39.21,20.46,0.2,43.68,1446.87
McDonalds,DESSERTS MENU,Piri piri Mc Spicy Veg Burger,211.0,517.98,58.87,11.97,2.0,12.87,24.53,6.01,0.18,8.1,1170.89
McDonalds,DESSERTS MENU,Cheesy Veg Nuggets (6pc),90.0,252.29,23.6,8.48,3.0,1.31,13.09,7.53,0.09,20.03,428.17
McDonalds,DESSERTS MENU,Cheesy Veg Nuggets (9pc),135.0,378.43,35.4,12.72,3.0,1.96,19.63,11.3,0.14,30.05,642.25
McDonalds,GOURMET MENU,Small Coca-Cola,299.0,109.56,27.39,0.0,0.0,27.39,0.0,0.0,0.0,0.0,21.17
McDonalds,GOURMET MENU,Medium Coca-Cola,394.0,151.36,37.84,0.0,0.0,37.84,0.0,0.0,0.0,0.0,29.24
McDonalds,GOURMET MENU,Large Coca-Cola,544.0,217.36,54.34,0.0,0.0,54.34,0.0,0.0,0.0,0.0,41.99
McDonalds,GOURMET MENU,Small Fanta Oragne,299.0,129.48,32.37,0.0,0.0,32.37,0.0,0.0,0.0,0.0,55.53
McDonalds,GOURMET MENU,Medium Fanta Orange,394.0,178.88,44.72,0.0,0.0,44.72,0.0,0.0,0.0,0.0,76.71
McDonalds,GOURMET MENU,Large Fanta Oragne,544.0,256.88,64.22,0.0,0.0,64.22,0.0,0.0,0.0,0.0,110.16
McDonalds,GOURMET MENU,Small Thums-up,299.0,99.6,24.9,0.0,0.0,24.9,0.0,0.0,0.0,0.0,25.15
McDonalds,GOURMET MENU,Medium Thums-up,394.0,137.6,34.4,0.0,0.0,34.4,0.0,0.0,0.0,0.0,34.74
McDonalds,GOURMET MENU,Large Thums-up,544.0,197.6,49.4,0.0,0.0,49.4,0.0,0.0,0.0,0.0,49.89
McDonalds,GOURMET MENU,Small Sprite,299.0,119.52,29.88,0.0,0.0,29.88,0.0,0.0,0.0,0.0,2.02
McDonalds,GOURMET MENU,Medium Sprite,394.0,165.12,41.28,0.0,0.0,41.28,0.0,0.0,0.0,0.0,2.79
McDonalds,GOURMET MENU,Large Sprite,544.0,237.12,59.28,0.0,0.0,59.28,0.0,0.0,0.0,0.0,4.0
McDonalds,GOURMET MENU,Coke Float,286.79,138.76,29.22,1.52,0.0,28.23,1.75,1.28,0.05,4.7,44.53
McDonalds,GOURMET MENU,Fanta Float,286.79,151.56,32.42,1.52,1.0,31.43,1.75,1.28,0.05,4.7,66.61
McDonalds,GOURMET MENU,Sprite Float,286.79,145.16,30.82,1.52,1.0,29.83,1.75,1.28,0.05,4.7,47.09
McDonalds,GOURMET MENU,Coke Zero Can,330.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.75
McDonalds,GOURMET MENU,Vedica Natural Mineral Water,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9
McDonalds,CONDIMENTS MENU,Mustard diping sauce,25.0,81.18,7.24,0.52,3.0,6.66,5.57,1.78,0.47,0.29,221.32
McDonalds,CONDIMENTS MENU,BBQ diping sauce,25.0,54.89,12.36,0.26,2.0,7.65,0.49,0.15,0.04,0.25,113.23
McDonalds,CONDIMENTS MENU,Chilli Sauce,10.0,8.07,1.99,0.03,1.0,1.53,0.01,0.01,0.01,0.1,65.24
McDonalds,CONDIMENTS MENU,Piri Piri Mix,5.0,17.13,2.5,0.51,3.0,0.66,0.36,0.08,0.01,0.05,414.71
McDonalds,CONDIMENTS MENU,Tomato Ketchup Sachets,8.0,11.23,2.63,0.08,1.0,2.33,23.45,0.0,0.01,0.08,71.05
McDonalds,CONDIMENTS MENU,Maple Syrup,30.0,86.4,21.6,0.0,3.0,16.2,0.0,0.0,0.0,0.3,15.0
McDonalds,CONDIMENTS MENU,Cheese Slice,14.0,51.03,0.72,3.06,4.0,0.54,3.99,2.89,0.01,13.43,178.95
McDonalds,CONDIMENTS MENU,Sweet Corn,40.0,45.08,7.55,1.47,1.0,2.54,1.0,0.22,0.04,2.0,0.04
McDonalds,CONDIMENTS MENU,Mixed Fruit Beverage,180.0,72.25,18.0,0.65,0.0,16.83,0.02,0.02,0.02,0.01,10.8
KFC,All Meals,Hot Wings 2 pc,75.0,267.1,17.1,12.1,9.0,0.0,16.7,6.6,0.04,23.0,0.3
KFC,All Meals,Veg Strips 4pc,105.0,280.5,32.4,7.0,7.0,1.98,13.6,6.3,0.02,17.0,0.6
KFC,All Meals,Hot Wings 4 Pc,155.0,534.3,34.2,24.2,18.0,0.0,33.4,13.3,0.08,46.0,0.7
KFC,All Meals,Popcorn Reg,80.0,272.0,18.0,15.0,8.0,0.0,15.6,6.8,0.02,20.0,0.6
KFC,All Meals,Popcorn Med,110.0,374.0,24.7,20.6,11.0,0.0,21.4,9.4,0.03,28.0,0.8
KFC,All Meals,Popcorn Lrg,170.0,578.0,38.2,31.8,18.0,0.0,33.1,14.5,0.05,44.0,1.2
KFC,All Meals,Boneless Strips 3pc,138.0,358.6,20.7,27.0,10.0,0.0,18.6,8.2,0.03,24.0,0.5
KFC,All Meals,Boneless Strips 6pc,276.0,717.2,41.3,54.1,20.0,0.0,37.3,16.3,0.06,49.0,0.9
KFC,All Meals,Veg Biryani,305.0,512.4,74.5,9.7,12.0,0.0,19.3,7.7,0.0,30.0,1.2
KFC,All Meals,Classic chicken biryani,341.0,586.5,56.4,28.4,14.0,0.0,27.4,10.3,0.0,34.0,1.0
KFC,All Meals,Popcorn Chicken,330.0,587.4,69.7,23.4,11.0,0.0,24.4,10.0,0.0,28.0,1.3
KFC,All Meals,"Smoky Chicken
Biryani",341.0,509.5,64.0,22.4,8.0,0.0,18.4,6.5,0.0,20.0,1.4
KFC,All Meals,Veg Zinger Burger,232.0,623.0,83.4,14.5,11.0,14.13,25.7,9.5,0.02,28.0,0.4
KFC,All Meals,"Chicken
Zinger Burger",225.0,563.1,57.1,26.6,11.0,11.51,26.6,8.2,0.04,28.0,0.3
KFC,All Meals,Spicy Zinger,212.0,433.2,46.2,26.6,11.0,7.21,15.6,8.2,0.04,28.0,1.1
KFC,All Meals,Classic Veg Crisper,147.0,342.2,54.6,8.9,12.0,6.32,27.6,9.5,0.03,30.0,0.4
KFC,All Meals,Spicy Veg Crisper,147.0,367.5,59.0,9.2,9.0,8.1,18.9,7.0,0.03,22.0,0.5
KFC,All Meals,Classic Non Veg Crisper,167.0,450.6,52.2,18.7,8.0,0.0,18.6,5.5,0.02,19.0,0.5
KFC,All Meals,Spicy Non Veg Crisper,167.0,393.7,56.8,20.7,5.0,3.72,9.3,4.0,0.02,12.0,0.5
KFC,All Meals,Tandoori Zinger Burger,230.0,999.9,68.5,27.4,13.0,0.0,32.3,9.2,0.02,33.0,0.4
KFC,All Meals,"Mixed Zinger Doubles( 1 ch Zinger+1 Tandoori
Zinger)",462.0,1562.9,62.8,54.0,12.0,5.75,29.5,8.7,0.03,31.0,0.4
KFC,All Meals,2 Classic veg Crispers,294.0,684.4,54.6,17.7,12.0,6.32,27.6,9.5,0.03,30.0,0.4
KFC,All Meals,2 Classic Chicken Crisper,334.0,787.4,56.8,41.3,5.0,3.72,9.3,4.0,0.02,12.0,0.5
KFC,All Meals,Double Down burger,225.0,588.7,33.8,37.6,16.0,2.79,33.7,12.2,0.07,40.0,1.0
KFC,All Meals,1 pc,91.0,264.7,12.9,15.9,9.0,0.0,16.6,6.6,0.04,23.0,0.2
KFC,All Meals,2 pc,182.0,529.4,25.8,31.9,19.0,0.0,33.2,13.1,0.07,47.0,0.4
KFC,All Meals,4 pc,364.0,1058.8,25.8,63.7,19.0,0.0,33.2,13.1,0.07,47.0,0.4
KFC,All Meals,6 Pc,546.0,1588.2,38.8,95.6,28.0,0.0,49.8,19.7,0.11,70.0,0.7
KFC,All Meals,8 pc Bucket,728.0,2117.5,34.5,127.4,25.0,0.0,44.2,17.5,0.1,62.0,0.6
KFC,All Meals,5 Pc Fried Leg,500.0,1440.0,42.6,89.3,22.0,0.0,41.3,16.5,0.08,56.0,0.5
KFC,All Meals,10 Pc Fried Leg,1000.0,2880.0,85.1,178.6,45.0,0.0,82.6,33.0,0.2,112.0,1.1
KFC,All Meals,1 pc,92.0,174.9,8.0,21.3,4.0,0.0,6.4,1.8,0.02,9.0,0.2
KFC,All Meals,2 pc,184.0,349.7,16.1,42.6,7.0,0.0,12.8,3.6,0.04,18.0,0.5
KFC,All Meals,4 pc,368.0,699.4,32.1,85.3,14.0,0.0,25.5,7.3,0.07,36.0,1.0
KFC,All Meals,5 PC,460.0,874.3,20.1,106.6,9.0,0.0,16.0,4.6,0.05,22.0,0.6
KFC,All Meals,6 Pc,552.0,1049.1,24.1,127.9,11.0,0.0,19.2,5.5,0.06,27.0,0.7
KFC,All Meals,8 pc Bucket,736.0,1398.8,21.4,170.5,10.0,0.0,17.0,4.9,0.05,24.0,0.6
KFC,All Meals,"Chick & Share Bucket: Xtra
Large Popcorn",340.0,1156.0,38.2,63.6,18.0,0.0,33.1,14.5,0.05,44.0,1.2
KFC,All Meals,"Chick & Share Bucket: 5 pc
Hot & Crispy",455.0,1323.5,32.3,79.6,23.0,0.0,41.5,16.4,0.09,58.0,0.5
KFC,All Meals,Chick & Share Bucket: 10 pc Strips,460.0,1195.4,34.5,90.1,16.0,0.0,31.1,13.6,0.05,41.0,0.8
KFC,All Meals,"Dips Bucket (12 Pc + 4
Dips)",712.0,1434.5,27.6,108.1,13.0,10.53,24.9,10.9,0.03,33.0,0.6
KFC,All Meals,Mingles Bucket,327.0,1269.4,46.8,62.3,19.0,0.0,35.9,15.2,0.05,48.0,0.9
KFC,All Meals,"Friendship Bucket DI/TA(3pc HC+3pc HW+3pc Strips +Med
Popcorn)",451.5,1022.6,24.4,34.9,6.0,1.16,21.9,4.5,0.07,15.0,0.5
KFC,All Meals,Big Eight ( 4pc smoky+ 4pc HC),732.0,1758.2,27.9,149.0,17.0,0.0,30.6,11.2,0.07,43.0,0.6
KFC,All Meals,"Friendship Bucket DL(3pc HC+3pc HW+3pc Strips + Large
Popcorn)",693.5,2131.4,41.1,124.8,23.0,0.0,42.2,17.5,0.07,58.0,0.9
KFC,All Meals,"12 for 350
(12 BS + 4
dips) on Wednesdays",712.0,1434.5,27.6,108.1,13.0,0.0,24.9,10.9,0.0,33.0,0.6
KFC,All Meals,"10 for 550
(10 pc HC)
on Wednesdays",910.0,2382.2,38.8,143.3,28.0,0.0,49.8,19.7,0.11,70.0,0.7
KFC,All Meals,"Triple Treat (4 HC + 4
Smoky + 6 Boneless
Strips)",1008.0,2475.4,41.7,203.0,24.0,0.0,43.1,16.6,0.07,59.0,0.9
KFC,All Meals,"Super Sixes (4 HC, 6 HW,
8 Strips)",962.0,2816.5,39.5,172.1,23.0,0.0,41.5,17.0,0.08,57.0,0.8
KFC,All Meals,"7up Krush
Lime",210.0,81.9,4.1,20.4,0.0,34.1,0.0,0.0,0.0,0.0,0.1
KFC,All Meals,"Sparkling
Vanilla Blue)",310.0,120.9,6.0,30.1,0.0,34.0,0.0,0.0,0.0,0.0,0.0
KFC,All Meals,"(Virgin
Mojito/",310.0,120.4,6.0,30.1,0.0,22.32,0.0,0.0,0.0,0.0,0.0
KFC,All Meals,Regular Fries,75.0,224.1,27.5,5.0,5.0,0.0,10.4,4.9,0.02,13.0,0.2
KFC,All Meals,Medium Fries,100.0,298.8,36.7,6.7,7.0,0.0,13.9,6.5,0.02,18.0,0.2
KFC,All Meals,Large Fries,135.0,403.3,49.6,9.1,10.0,0.0,18.8,8.7,0.03,24.0,0.2
KFC,All Meals,"Pepsi
Regular",330.0,141.9,36.0,0.0,0.0,35.97,0.0,0.0,0.0,0.0,0.0
KFC,All Meals,"Mirinda
Regular",330.0,181.5,45.5,0.0,0.0,45.54,0.0,0.0,0.0,0.0,0.0
KFC,All Meals,"7 Up
Regular",330.0,155.1,38.6,0.0,0.0,38.61,0.0,0.0,0.0,0.0,0.0
KFC,All Meals,"Dew
Regular",330.0,161.7,40.6,0.0,0.0,40.59,0.0,0.0,0.0,0.0,0.0
KFC,All Meals,"Dynamite
Spicy Mayo",20.0,77.4,3.4,0.2,2.0,1.6,7.0,1.2,0.0,5.0,0.1
KFC,All Meals,"Creamy Veg
Mayo",20.0,73.9,2.5,0.2,2.0,1.28,7.0,1.1,0.0,5.0,0.2
KFC,All Meals,Tandoori Masala Mayo,20.0,73.8,3.5,0.3,2.0,1.42,6.5,1.2,0.0,5.0,0.2
KFC,All Meals,"Zesty thousand
Island Dip",20.0,72.3,3.6,0.3,2.0,2.5,6.3,1.2,0.0,5.0,0.2
KFC,All Meals,"Nashvillle
Dip",20.0,30.2,7.1,0.1,2.0,1.4,0.2,1.0,0.0,5.0,0.2
KFC,All Meals,"Nashville Sauce Bottle
-225 g",225.0,150.8,7.1,1.1,2.0,1.4,0.2,1.0,0.0,5.0,0.2
KFC,All Meals,"Dynamite Spicy Mayo bottle -200
g",200.0,774.0,3.4,2.0,2.0,1.6,7.0,1.2,0.0,5.0,0.1
KFC,All Meals,Pepsi,300.0,129.0,21.8,0.0,0.0,21.8,0.0,0.0,0.0,0.0,0.0
KFC,All Meals,7Up,300.0,138.0,23.4,0.0,0.0,23.4,0.0,0.0,0.0,0.0,0.0
KFC,All Meals,Mirinda,300.0,165.0,27.6,0.0,0.0,27.6,0.0,0.0,0.0,0.0,0.0
KFC,All Meals,Pepsi Pet,500.0,215.0,36.3,0.0,0.0,36.3,0.0,0.0,0.0,0.0,0.0
KFC,All Meals,Pepsi Black,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KFC,All Meals,Red Bull,250.0,112.5,22.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0
Dominos,All Meals,MARGHERITA REGULAR,52.0,138.5,20.5,6.8,2.28,2.7,3.2,1.9,0.08,65.60000000000001,
Dominos,All Meals,MARGHERITA MEDIUM,69.0,184.3,21.3,9.1,3.0,3.6,4.3,2.5,0.1,91.59,
Dominos,All Meals,MARGHERITA LARGE,96.0,256.4,38.0,12.1,4.2,5.0,6.0,3.5,0.14,228.0,
Dominos,All Meals,DOUBLE CHEESE MARGHERITA REGULAR,56.0,145.5,22.6,6.5,2.4,3.0,3.2,2.0,0.08,72.32000000000001,
Dominos,All Meals,DOUBLE CHEESE MARGHERITA MEDIUM,64.0,166.7,25.9,1.5,2.76,3.4,3.1,2.3,0.09,80.28999999999999,
Dominos,All Meals,DOUBLE CHEESE MARGHERITA LARGE,108.0,279.3,43.4,12.5,4.68,5.7,6.2,3.9,0.16,269.08,
Dominos,All Meals,COUNTRY SPECIAL REGULAR,70.0,153.2,24.0,6.8,2.28,3.3,3.3,1.9,0.08,79.19999999999999,
Dominos,All Meals,COUNTRY SPECIAL MEDIUM,80.0,175.5,21.5,7.8,2.64,3.8,3.8,2.2,0.09,81.7,
Dominos,All Meals,COUNTRY SPECIAL LARGE,123.0,268.1,42.1,11.9,4.08,5.8,5.8,3.4,0.14,244.18,
Dominos,All Meals,FARM HOUSE REGULAR,70.0,156.5,24.9,6.7,2.52,2.8,3.4,2.1,0.08,84.66,
Dominos,All Meals,FARM HOUSE MEDIUM,83.0,184.6,29.3,1.9,3.0,3.4,4.0,2.5,0.1,117.2,
Dominos,All Meals,FARM HOUSE LARGE,114.0,253.5,40.3,10.8,4.08,4.6,5.5,3.4,0.14,221.64999999999998,
Dominos,All Meals,MEXICAN GREEN WAVE REGULAR,65.0,144.5,23.1,6.1,2.52,3.0,3.0,2.1,0.08,69.30000000000001,
Dominos,All Meals,MEXICAN GREEN WAVE MEDIUM,82.0,181.9,29.1,7.7,3.12,3.8,3.8,2.6,0.1,110.58,
Dominos,All Meals,MEXICAN GREEN WAVE LARGE,114.0,253.4,40.6,10.8,4.32,5.3,5.3,3.6,0.14,215.18,
Dominos,All Meals,SPICY TRIPLE TANGO REGULAR,68.8,160.1,25.2,1.4,2.28,3.1,3.3,1.9,0.08,83.16,
Dominos,All Meals,SPICY TRIPLE TANGO MEDIUM,75.0,175.1,21.6,8.1,2.4,3.4,3.6,2.0,0.08,77.76,
Dominos,All Meals,SPICY TRIPLE TANGO LARGE,109.0,254.8,40.1,11.8,3.5999999999999996,4.9,5.3,3.0,0.12,212.53,
Dominos,All Meals,PEPPY PANEER REGULAR,68.0,168.8,24.8,1.2,3.48,3.0,4.5,2.9,0.12,111.60000000000001,
Dominos,All Meals,PEPPY PANEER MEDIUM,79.0,198.4,29.1,8.5,4.08,3.5,5.3,3.4,0.14,154.23,
Dominos,All Meals,PEPPY PANEER LARGE,109.0,211.9,40.0,11.6,5.52,4.9,7.3,4.6,0.18,292.0,
Dominos,All Meals,5 PEPPER REGULAR,90.0,190.0,31.6,8.5,2.16,2.1,3.3,1.8,0.07,104.28,
Dominos,All Meals,6 PEPPER MEDIUM,79.0,161.5,21.9,7.5,1.92,2.4,2.9,1.6,0.06,63.50999999999999,
Dominos,All Meals,7 PEPPER LARGE,101.0,225.4,31.5,10.1,2.64,3.2,3.9,2.2,0.09,122.85,
Dominos,All Meals,VEGGIE PARADISE REGULAR,72.0,156.7,24.5,7.2,2.28,2.8,3.3,1.9,0.08,80.85,
Dominos,All Meals,VEGGIE PARADISE MEDIUM,77.0,161.7,26.2,7.7,2.4,3.0,3.5,2.0,0.08,91.7,
Dominos,All Meals,VEGGIE PARADISE LARGE,97.0,210.9,33.0,9.1,3.0,3.7,4.5,2.5,0.1,148.5,
Dominos,All Meals,VEGGIE DELUXE PIZZA REGULAR,76.0,169.7,26.0,1.5,2.76,2.5,4.0,2.3,0.09,104.0,
Dominos,All Meals,VEGGIE DELUXE PIZZA MEDIUM,79.0,175.6,26.9,1.8,2.88,2.6,4.1,2.4,0.1,110.28999999999998,
Dominos,All Meals,VEGGIE DELUXE PIZZA LARGE,99.0,220.5,33.7,9.8,3.5999999999999996,3.3,5.2,3.0,0.12,175.24,
Dominos,All Meals,VEG EXTRAVAGANZA REGULAR,91.0,173.3,29.2,8.8,1.56,2.9,2.4,1.3,0.05,70.08,
Dominos,All Meals,VEG EXTRAVAGANZA MEDIUM,97.0,184.2,31.1,9.3,1.56,3.1,2.5,1.3,0.05,77.75,
Dominos,All Meals,VEG EXTRAVAGANZA LARGE,128.0,242.6,40.9,12.3,2.16,4.1,3.3,1.8,0.07,134.97,
Dominos,All Meals,CLOUD 9 REGULAR,78.0,170.1,23.3,7.1,3.7199999999999998,2.9,5.2,3.1,0.12,121.16000000000001,
Dominos,All Meals,CLOUD 10 MEDIUM,106.0,231.2,31.6,10.4,6.0,4.0,7.0,5.0,0.2,221.20000000000002,
Dominos,All Meals,CLOUD 11 LARGE,126.0,274.2,37.5,12.4,7.08,4.1,8.3,5.9,0.24,311.25,
Dominos,All Meals,CHEF'S VEG WONDER REGULAR,74.0,167.6,26.0,8.1,2.52,3.3,3.4,2.1,0.08,88.39999999999999,
Dominos,All Meals,CHEF'S VEG WONDER MEDIUM,79.0,178.9,21.8,8.1,2.64,3.5,3.1,2.2,0.09,67.58,
Dominos,All Meals,CHEF'S VEG WONDER LARGE,112.0,253.4,39.3,12.3,3.7199999999999998,4.9,5.2,3.1,0.12,204.35999999999999,
Dominos,All Meals,CHEESE & BBQ CHICKEN REGULAR,61.0,141.8,21.4,7.6,2.16,2.0,2.9,1.8,0.07,62.059999999999995,
Dominos,All Meals,CHEESE & BBQ CHICKEN MEDIUM,77.0,180.5,21.3,9.7,2.76,2.6,3.6,2.3,0.09,76.68,
Dominos,All Meals,CHEESE & BBQ CHICKEN LARGE,96.0,224.6,34.0,12.0,3.36,3.2,4.5,2.8,0.11,153.0,
Dominos,All Meals,CHICKEN SALAMI SPECIAL REGULAR,60.0,116.7,18.3,7.1,2.04,2.4,8.3,1.7,0.07,151.89000000000001,
Dominos,All Meals,CHICKEN SALAMI SPECIAL MEDIUM,11.0,209.2,21.7,8.4,11.04,2.9,9.9,9.2,0.37,214.83,
Dominos,All Meals,CHICKEN SALAMI SPECIAL LARGE,97.0,283.7,29.4,11.4,14.879999999999999,3.9,13.4,12.4,0.5,393.96,
Dominos,All Meals,BBQ CHICKEN REGULAR,65.0,152.1,23.3,7.2,2.88,2.8,3.3,2.4,0.1,76.89,
Dominos,All Meals,BBQ CHICKEN MEDIUM,79.0,185.5,28.5,8.7,3.48,3.4,4.1,2.9,0.12,116.85,
Dominos,All Meals,BBQ CHICKEN LARGE,109.0,255.4,39.2,12.0,4.8,4.7,5.6,4.0,0.16,219.52,
Dominos,All Meals,CHICKEN FIESTA REGULAR,65.0,150.1,21.0,6.9,2.64,2.9,4.3,2.2,0.09,90.3,
Dominos,All Meals,CHICKEN FIESTA MEDIUM,94.0,211.4,30.4,10.0,3.84,4.2,6.2,3.2,0.13,188.48,
Dominos,All Meals,CHICKEN FIESTA LARGE,99.0,227.7,31.9,10.5,4.08,4.4,6.5,3.4,0.14,207.35,
Dominos,All Meals,CHICKEN LOVERS REGULAR,66.0,145.0,23.1,7.1,1.68,2.8,2.4,1.4,0.06,55.440000000000005,
Dominos,All Meals,CHICKEN LOVERS MEDIUM,78.0,172.7,21.5,9.1,1.92,3.3,2.9,1.6,0.06,62.35,
Dominos,All Meals,CHICKEN LOVERS LARGE,108.0,238.0,31.9,12.6,2.76,4.5,4.0,2.3,0.09,127.6,
Dominos,All Meals,CHICKEN MEXICANA REGULAR,69.0,156.6,22.7,8.0,3.0,2.6,3.8,2.5,0.1,86.25999999999999,
Dominos,All Meals,CHICKEN MEXICANA MEDIUM,87.0,197.5,28.6,10.1,3.7199999999999998,3.2,4.8,3.1,0.12,137.28,
Dominos,All Meals,CHICKEN MEXICANA LARGE,101.0,241.4,35.0,12.3,4.56,4.0,5.8,3.8,0.15,203.0,
Dominos,All Meals,CHICKEN GOLDEN DELIGHT REGULAR,13.0,170.0,31.8,1.5,1.08,4.9,1.4,0.9,0.04,44.519999999999996,
Dominos,All Meals,CHICKEN GOLDEN DELIGHT MEDIUM,79.0,185.2,34.7,8.2,1.2,5.3,1.5,1.0,0.04,52.050000000000004,
Dominos,All Meals,CHICKEN GOLDEN DELIGHT LARGE,96.0,225.1,42.1,9.9,1.44,6.5,1.9,1.2,0.05,79.99,
Dominos,All Meals,CHEFS CHICKEN CHOICE REGULAR,72.0,163.9,23.9,8.6,1.92,0.1,3.1,1.6,0.06,74.09,
Dominos,All Meals,CHEFS CHICKEN CHOICE MEDIUM,85.0,194.3,28.3,10.2,2.28,0.1,4.4,1.9,0.08,124.52000000000001,
Dominos,All Meals,CHEFS CHICKEN CHOICE LARGE,112.0,254.7,31.1,13.4,3.0,0.1,5.8,2.5,0.1,180.38,
Dominos,All Meals,CHICKEN DOMINATOR REGULAR,10.0,112.5,21.7,9.1,3.0,2.6,5.5,2.5,0.1,119.35,
Dominos,All Meals,CHICKEN DOMINATOR MEDIUM,92.0,226.7,28.5,12.0,3.9599999999999995,3.4,7.2,3.3,0.13,205.20000000000002,
Dominos,All Meals,CHICKEN DOMINATOR LARGE,155.0,399.0,48.0,18.3,9.48,6.8,14.9,7.9,0.32,715.2,
Dominos,All Meals,SEVENTH HEAVEN REGULAR,16.0,158.4,19.6,9.4,1.7999999999999998,2.9,4.1,1.5,0.06,80.36,
Dominos,All Meals,SEVENTH HEAVEN MEDIUM,108.0,224.4,27.8,13.3,2.64,4.1,6.1,2.2,0.09,169.57999999999998,
Dominos,All Meals,SEVENTH HEAVEN LARGE,115.0,231.9,29.4,14.1,2.76,4.4,7.1,2.3,0.09,208.73999999999998,
Dominos,All Meals,NON-VEG SUPREME REGULAR,80.0,174.5,21.8,7.3,2.88,3.0,3.8,2.4,0.1,82.84,
Dominos,All Meals,NON-VEG SUPREME MEDIUM,91.0,199.2,31.7,8.3,3.24,3.5,4.3,2.7,0.11,136.31,
Dominos,All Meals,NON-VEG SUPREME LARGE,132.0,287.9,45.9,12.0,4.68,5.0,6.3,3.9,0.16,289.16999999999996,
Dominos,All Meals,CHEESE & PEPPERONI REGULAR,68.0,189.0,23.1,9.2,4.56,3.2,6.7,3.8,0.15,154.77,
Dominos,All Meals,CHEESE & PEPPERONI MEDIUM,75.0,210.0,25.6,10.2,5.159999999999999,3.6,7.4,4.3,0.17,189.44000000000003,
Dominos,All Meals,CHEESE & PEPPERONI LARGE,97.0,272.3,33.2,13.2,6.6,4.1,9.6,5.5,0.22,318.72,
Dominos,All Meals,GARLIC BREADSTICKS ,122.0,340.3,57.6,11.9,1.68,8.5,6.9,1.4,0.06,397.44000000000005,
Dominos,All Meals,STUFFED GARLIC BREADSTICKS ,190.0,540.2,82.4,20.2,7.319999999999999,8.9,14.4,6.1,0.24,1186.5600000000002,
Dominos,All Meals,PASTA - VEG WHITE ,198.0,593.2,80.0,19.6,9.6,8.3,21.4,8.0,0.32,1712.0,
Dominos,All Meals,TACO MEXICANA - VEG ,91.0,321.2,40.3,6.8,5.28,4.8,15.4,4.4,0.18,620.62,
Dominos,All Meals,CALZONE POCKETS - VEG ,238.0,593.3,91.1,20.6,9.0,12.2,16.3,7.5,0.3,1484.93,
Dominos,All Meals,ZINGY PARCEL VEG ,180.0,620.4,69.5,16.9,18.119999999999997,8.8,30.5,15.1,0.6,2119.75,
Dominos,All Meals,LAVA CAKE ,85.0,323.2,48.4,5.1,10.319999999999999,27.0,12.1,8.6,0.34,585.64,
Dominos,All Meals,CHICKEN WINGS ,174.0,352.9,24.5,35.3,5.76,10.4,12.6,4.8,0.19,308.7,
Dominos,All Meals,CRISPY CHICKEN STRIPS ,156.0,461.2,51.3,26.7,5.159999999999999,3.6,13.9,4.3,0.17,713.0699999999999,
Dominos,All Meals,ZINGY PARCEL CHICKEN ,210.0,667.5,17.3,19.2,16.919999999999998,10.6,31.3,14.1,0.56,541.49,
Dominos,All Meals,TACO MEXICANA - CHICKEN ,97.0,322.6,34.2,9.3,5.3999999999999995,3.9,16.5,4.5,0.18,564.3000000000001,
Dominos,All Meals,CALZONE POCKETS - CHICKEN ,248.0,582.9,101.0,18.6,5.04,12.2,11.6,4.2,0.17,1171.6,
